Column1.1,Column1.2,Column1.3,Column1.4,Column1.5,Column1.6,Column1.7,Column1.8,Column1.9,Column1.10,Column1.11,Column1.12,Column1.13,Column1.14,Column1.15,Column1.16,Column1.17,Column1.18,Column1.19,Column1.20,Column1.21
, 196       , Yola Federal Medical Center , Adamawa   , Yola City         , Pediatrics       , Infant Incubator    , 6        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 197       , Jos University Teaching Hospital , Plateau , Jos City   , Emergency Care   , Ventilator           , 2        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-20   , 2024-02-15     , 48                       , 2000                         , 1200                    , New                 ,
, 198       , Ogbomoso General Hospital  , Oyo         , Ogbomoso City     , Radiology        , MRI Machine          , 1        , 200000           , MRI Solutions     , John Doe         , +1122334455    , john@mrisolutions.us   , USA             , 2024-03-01   , 2024-03-30     , 60                       , 5000                         , 3000                    , New                 ,
, 199       , Ado-Ekiti Medical Center   , Ekiti       , Ado-Ekiti City    , Pediatrics       , Phototherapy Unit   , 4        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-28   , 2024-03-25     , 24                       , 800                          , 500                     , Used - Good         ,
, 200       , Abakaliki General Hospital , Ebonyi      , Abakaliki City    , Emergency Care   , Defibrillator        , 8        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-15   , 2024-04-10     , 36                       , 1200                         , 800                     , New                 ,
, 201       , Yenagoa Medical Center    , Bayelsa     , Yenagoa City      , Radiology        , X-ray Machine       , 6        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-02-28   , 2024-03-25     , 36                       , 1500                         , 800                     , Refurbished         ,
, 202       , Benin City General Hospital , Edo       , Benin City        , Pediatrics       , Infant Incubator    , 3        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 203       , Lafia Federal Medical Center , Nasarawa , Lafia City        , Surgery          , C-arm Fluoroscopy    , 4        , 60000            , FluoroTech        , Sophia Chen      , +3322114455    , sophia@fluorotech.tw  , Taiwan          , 2024-04-10   , 2024-05-05     , 48                       , 2500                         , 1500                    , New                 ,
, 204       , Abeokuta General Hospital , Ogun        , Abeokuta City     , Emergency Care   , Defibrillator        , 5        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-15   , 2024-04-10     , 36                       , 1200                         , 800                     , New                 ,
, 205       , Awka Medical Center        , Anambra    , Awka City         , Surgery          , Operating Table      , 2        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-05   , 2024-03-28     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 206       , Dutse General Hospital     , Jigawa     , Dutse City        , Radiology        , CT Scanner           , 8        , 80000            , ScanTech          , Emily Johnson    , +7755332211    , emily@scantech.de      , Germany         , 2024-04-20   , 2024-05-15     , 60                       , 3000                         , 2000                    , New                 ,
, 207       , Umuahia General Hospital  , Abia       , Umuahia City      , Pediatrics       , Infant Warmers      , 3        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-15   , 2024-03-10     , 24                       , 800                          , 500                     , Used - Good         ,
, 208       , Gusau General Hospital     , Zamfara    , Gusau City        , Radiology        , X-ray Machine       , 6        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-02-10   , 2024-03-05     , 36                       , 1500                         , 800                     , Refurbished         ,
, 209       , Bauchi National Hospital   , Bauchi     , Bauchi City       , Emergency Care   , Ventilator           , 2        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-20   , 2024-02-15     , 48                       , 2000                         , 1200                    , New                 ,
, 210       , Keffi Federal Medical Center , Nasarawa , Keffi City      , Pediatrics       , Phototherapy Unit   , 4        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-28   , 2024-03-25     , 24                       , 800                          , 500                     , Used - Good         ,
,-----------,----------------------------,-------------,-------------------,------------------,-----------------------,----------,------------------,-------------------,------------------,----------------,------------------------,-----------------,--------------,----------------,--------------------------,------------------------------,-------------------------,---------------------,
, 211       , Maiduguri General Hospital , Borno       , Maiduguri City    , Surgery          , Anesthesia Machine  , 3        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-04-02   , 2024-04-25     , 36                       , 2500                         , 1500                    , New                 ,
, 212       , Benin City General Hospital , Edo       , Benin City        , Radiology        , MRI Machine          , 2        , 200000           , MRI Solutions     , John Doe         , +1122334455    , john@mrisolutions.us   , USA             , 2024-03-01   , 2024-03-30     , 60                       , 5000                         , 3000                    , New                 ,
, 213       , Lafia Federal Medical Center , Nasarawa , Lafia City        , Pediatrics       , Infant Incubator    , 5        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 214       , Abeokuta General Hospital , Ogun        , Abeokuta City     , Emergency Care   , Defibrillator        , 6        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-15   , 2024-04-10     , 36                       , 1200                         , 800                     , New                 ,
, 215       , Awka Medical Center        , Anambra    , Awka City         , Pediatrics       , Phototherapy Unit   , 3        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-28   , 2024-03-25     , 24                       , 800                          , 500                     , Used - Good         ,
, 216       , Dutse General Hospital     , Jigawa     , Dutse City        , Surgery          , Operating Table      , 4        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-05   , 2024-03-28     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 217       , Umuahia General Hospital  , Abia       , Umuahia City      , Radiology        , X-ray Machine       , 2        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-02-10   , 2024-03-05     , 36                       , 1500                         , 800                     , Refurbished         ,
, 218       , Gusau General Hospital     , Zamfara    , Gusau City        , Emergency Care   , Ventilator           , 5        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-20   , 2024-02-15     , 48                       , 2000                         , 1200                    , New                 ,
, 219       , Bauchi National Hospital   , Bauchi     , Bauchi City       , Pediatrics       , Infant Warmers      , 3        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-15   , 2024-03-10     , 24                       , 800                          , 500                     , Used - Good         ,
, 220       , Keffi Federal Medical Center , Nasarawa , Keffi City      , Radiology        , CT Scanner           , 7        , 80000            , ScanTech          , Emily Johnson    , +7755332211    , emily@scantech.de      , Germany         , 2024-04-20   , 2024-05-15     , 60                       , 3000                         , 2000                    , New                 ,
, 221       , Makurdi General Hospital   , Benue      , Makurdi City      , Surgery          , Anesthesia Machine  , 4        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-03-02   , 2024-03-25     , 36                       , 2500                         , 1500                    , New                 ,
, 222       , Yenagoa Medical Center    , Bayelsa    , Yenagoa City      , Emergency Care   , Defibrillator        , 2        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-18   , 2024-04-12     , 36                       , 1200                         , 800                     , New                 ,
, 223       , Benin City General Hospital , Edo       , Benin City        , Radiology        , MRI Machine          , 3        , 200000           , MRI Solutions     , John Doe         , +1122334455    , john@mrisolutions.us   , USA             , 2024-04-01   , 2024-04-30     , 60                       , 5000                         , 3000                    , New                 ,
, 224       , Lafia Federal Medical Center , Nasarawa , Lafia City        , Pediatrics       , Infant Incubator    , 6        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-22   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 225       , Abeokuta General Hospital , Ogun        , Abeokuta City     , Emergency Care   , Ventilator           , 4        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-25   , 2024-02-20     , 48                       , 2000                         , 1200                    , New                 ,
, 226       , Awka Medical Center        , Anambra    , Awka City         , Pediatrics       , Phototherapy Unit   , 2        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-03-01   , 2024-03-25     , 24                       , 800                          , 500                     , Used - Good         ,
, 227       , Dutse General Hospital     , Jigawa     , Dutse City        , Surgery          , Operating Table      , 5        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-15   , 2024-04-10     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 228       , Umuahia General Hospital  , Abia       , Umuahia City      , Radiology        , X-ray Machine       , 3        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-03-10   , 2024-04-05     , 36                       , 1500                         , 800                     , Refurbished         ,
, 229       , Gusau General Hospital     , Zamfara    , Gusau City        , Emergency Care   , Defibrillator        , 6        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-05   , 2024-03-28     , 36                       , 1200                         , 800                     , New                 ,
, 230       , Bauchi National Hospital   , Bauchi     , Bauchi City       , Pediatrics       , Infant Warmers      , 4        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-28   , 2024-03-25     , 24                       , 800                          , 500                     , Used - Good         ,
, 231       , Keffi Federal Medical Center , Nasarawa , Keffi City      , Surgery          , Anesthesia Machine  , 2        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-04-02   , 2024-04-25     , 36                       , 2500                         , 1500                    , New                 ,
, 232       , Makurdi General Hospital   , Benue      , Makurdi City      , Radiology        , MRI Machine          , 1        , 200000           , MRI Solutions     , John Doe         , +1122334455    , john@mrisolutions.us   , USA             , 2024-03-01   , 2024-03-30     , 60                       , 5000                         , 3000                    , New                 ,
, 233       , Yenagoa Medical Center    , Bayelsa    , Yenagoa City      , Pediatrics       , Infant Incubator    , 3        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 234       , Benin City General Hospital , Edo       , Benin City        , Emergency Care   , Defibrillator        , 4        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-15   , 2024-04-10     , 36                       , 1200                         , 800                     , New                 ,
, 235       , Lafia Federal Medical Center , Nasarawa , Lafia City        , Pediatrics       , Phototherapy Unit   , 5        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-28   , 2024-03-25     , 24                       , 800                          , 500                     , Used - Good         ,
, 236       , Abeokuta General Hospital , Ogun        , Abeokuta City     , Radiology        , X-ray Machine       , 2        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-02-10   , 2024-03-05     , 36                       , 1500                         , 800                     , Refurbished         ,
, 237       , Awka Medical Center        , Anambra    , Awka City         , Surgery          , Operating Table      , 3        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-05   , 2024-03-28     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 238       , Dutse General Hospital     , Jigawa     , Dutse City        , Emergency Care   , Ventilator           , 5        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-20   , 2024-02-15     , 48                       , 2000                         , 1200                    , New                 ,
, 239       , Umuahia General Hospital  , Abia       , Umuahia City      , Pediatrics       , Infant Warmers      , 3        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-15   , 2024-03-10     , 24                       , 800                          , 500                     , Used - Good         ,
, 240       , Gusau General Hospital     , Zamfara    , Gusau City        , Radiology        , CT Scanner           , 7        , 80000            , ScanTech          , Emily Johnson    , +7755332211    , emily@scantech.de      , Germany         , 2024-04-20   , 2024-05-15     , 60                       , 3000                         , 2000                    , New                 ,
, 241       , Bauchi National Hospital   , Bauchi     , Bauchi City       , Surgery          , Anesthesia Machine  , 4        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-03-02   , 2024-03-25     , 36                       , 2500                         , 1500                    , New                 ,
, 242       , Keffi Federal Medical Center , Nasarawa , Keffi City      , Radiology        , MRI Machine          , 2        , 200000           , MRI Solutions     , John Doe         , +1122334455    , john@mrisolutions.us   , USA             , 2024-04-01   , 2024-04-30     , 60                       , 5000                         , 3000                    , New                 ,
, 243       , Makurdi General Hospital   , Benue      , Makurdi City      , Pediatrics       , Infant Incubator    , 3        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-03-15   , 2024-04-10     , 24                       , 1000                         , 500                     , Used - Good         ,
, 244       , Yenagoa Medical Center    , Bayelsa    , Yenagoa City      , Emergency Care   , Defibrillator        , 2        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-18   , 2024-04-12     , 36                       , 1200                         , 800                     , New                 ,
, 245       , Benin City General Hospital , Edo       , Benin City        , Radiology        , X-ray Machine       , 3        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-03-10   , 2024-04-05     , 36                       , 1500                         , 800                     , Refurbished         ,
, 246       , Lafia Federal Medical Center , Nasarawa , Lafia City        , Pediatrics       , Phototherapy Unit   , 4        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-03-01   , 2024-03-25     , 24                       , 800                          , 500                     , Used - Good         ,
, 247       , Abeokuta General Hospital , Ogun        , Abeokuta City     , Surgery          , Operating Table      , 5        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-15   , 2024-04-10     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 248       , Awka Medical Center        , Anambra    , Awka City         , Emergency Care   , Ventilator           , 2        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-20   , 2024-02-15     , 48                       , 2000                         , 1200                    , New                 ,
, 249       , Dutse General Hospital     , Jigawa     , Dutse City        , Pediatrics       , Infant Warmers      , 3        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-15   , 2024-03-10     , 24                       , 800                          , 500                     , Used - Good         ,
, 250       , Umuahia General Hospital  , Abia       , Umuahia City      , Radiology        , CT Scanner           , 7        , 80000            , ScanTech          , Emily Johnson    , +7755332211    , emily@scantech.de      , Germany         , 2024-04-20   , 2024-05-15     , 60                       , 3000                         , 2000                    , New                 ,
, 251       , Gusau General Hospital     , Zamfara    , Gusau City        , Surgery          , Anesthesia Machine  , 4        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-03-02   , 2024-03-25     , 36                       , 2500                         , 1500                    , New                 ,
, 252       , Bauchi National Hospital   , Bauchi     , Bauchi City       , Emergency Care   , Defibrillator        , 2        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-18   , 2024-04-12     , 36                       , 1200                         , 800                     , New                 ,
, 253       , Keffi Federal Medical Center , Nasarawa , Keffi City      , Radiology        , X-ray Machine       , 3        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-02-10   , 2024-03-05     , 36                       , 1500                         , 800                     , Refurbished         ,
, 254       , Makurdi General Hospital   , Benue      , Makurdi City      , Surgery          , Operating Table      , 4        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-05   , 2024-03-28     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 255       , Yenagoa Medical Center    , Bayelsa    , Yenagoa City      , Pediatrics       , Phototherapy Unit   , 5        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-28   , 2024-03-25     , 24                       , 800                          , 500                     , Used - Good         ,
, 256       , Benin City General Hospital , Edo       , Benin City        , Emergency Care   , Ventilator           , 3        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-20   , 2024-02-15     , 48                       , 2000                         , 1200                    , New                 ,
, 257       , Lafia Federal Medical Center , Nasarawa , Lafia City        , Pediatrics       , Infant Warmers      , 4        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-15   , 2024-03-10     , 24                       , 800                          , 500                     , Used - Good         ,
, 258       , Abeokuta General Hospital , Ogun        , Abeokuta City     , Radiology        , CT Scanner           , 7        , 80000            , ScanTech          , Emily Johnson    , +7755332211    , emily@scantech.de      , Germany         , 2024-04-20   , 2024-05-15     , 60                       , 3000                         , 2000                    , New                 ,
, 259       , Awka Medical Center        , Anambra    , Awka City         , Surgery          , Anesthesia Machine  , 2        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-03-02   , 2024-03-25     , 36                       , 2500                         , 1500                    , New                 ,
, 260       , Dutse General Hospital     , Jigawa     , Dutse City        , Emergency Care   , Defibrillator        , 3        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-18   , 2024-04-12     , 36                       , 1200                         , 800                     , New                 ,
